accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning,filtered_date,century,_primaryPlace_cleaned,countries_place,country,place,technique_filtered,color,coordinates,latitude,longitude
CIRC.1370-1926,1926.0,O494057,cup,,Dehua,unknown,,1620-1720,2010EC6155,porcelain,,blanc de chine,"ceramics, room 137, the curtain foundation gallery",False,False,1620-1720,17.0,dehua,"dehua, china",china,dehua,,,"25.4945484, 118.2362336",25.4945484,118.2362336
3761-1853,1853.0,O493637,figure,,Arita,unknown,,1650-1800,2010EA5746,porcelain,,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1650-1800,17.0,arita,"arita, japan",japan,arita,,,"33.192301, 129.8669613",33.192301,129.8669613
"C.6:1,2-2015",2015.0,O1305184,tea cup and saucer,,London,1660 london,,2012,2016JH7490,porcelain,,,in store,False,False,2012,21.0,london,"london, england",england,london,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.5-2015,2015.0,O1305183,cup,Black Tea Cup,London,1660 london,,2012,2016JH7486,porcelain,,,in store,False,False,2012,21.0,london,"london, england",england,london,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.4-2015,2015.0,O1305182,cup,Fragrance Cup,London,1660 london,,2012,2016JH7484,porcelain,,,in store,False,False,2012,21.0,london,"london, england",england,london,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.3-2015,2015.0,O1305181,cup,Green Tea Cup,London,1660 london,,2012,2016JH7492,porcelain,,,in store,False,False,2012,21.0,london,"london, england",england,london,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.239-2014,2014.0,O1302522,figure,,Meissen,meissen porcelain factory,makers,1747,2015HM1255,porcelain,moulded,,in store,False,False,1747,18.0,meissen,"meissen, germany",germany,meissen,moulded,,"51.1630871, 13.4704939",51.1630871,13.4704939
C.80-2025,2025.0,O1796043,pedestal,Pedestal,Italy,cozzi factory,manufacturer,1790-1800,2025PL1283,porcelain,,,in store,False,False,1790-1800,18.0,italy,italy,,italy,,,"41.8933203, 12.4829321",41.8933203,12.4829321
C.118-2003,2003.0,O84257,plate,Loft,United Kingdom,"hunt, martin",designer,2000,2009CA0564,porcelain,firing,,in store,False,False,2000,21.0,england,england,,united kingdom,firing/heating,,"51.5074456, -0.1277653",51.5074456,-0.1277653
CIRC.1369-1926,1926.0,O438087,cup,,Dehua,unknown,,18th century,2010EC6076,porcelain,,blanc de chine,"ceramics, room 137, the curtain foundation gallery",False,False,1700-1800,18.0,dehua,"dehua, china",china,dehua,,,"25.4945484, 118.2362336",25.4945484,118.2362336
